#Time       v(3)       i(L)      
 0.         7.         0.        
 5.E-6      42.386E-6  424.71E-6 
 10.E-6     84.702E-6  847.86E-6 
 15.E-6     126.77E-6  0.0012686 
 20.E-6     168.6E-6   0.0016869 
 25.E-6     210.19E-6  0.0021027 
 30.E-6     251.54E-6  0.0025162 
 35.E-6     292.65E-6  0.0029273 
 40.E-6     333.52E-6  0.003336  
 45.E-6     374.16E-6  0.0037424 
 50.E-6     414.56E-6  0.0041464 
 55.E-6     454.73E-6  0.0045481 
 60.E-6     494.67E-6  0.0049475 
 65.E-6     534.38E-6  0.0053446 
 70.E-6     573.86E-6  0.0057394 
 75.E-6     613.11E-6  0.0061319 
 80.E-6     652.14E-6  0.0065222 
 85.E-6     690.94E-6  0.0069102 
 90.E-6     729.52E-6  0.0072959 
 95.E-6     767.87E-6  0.0076795 
 100.E-6    806.01E-6  0.0080608 
 105.E-6    843.92E-6  0.00844   
 110.E-6    881.62E-6  0.0088169 
 115.E-6    919.1E-6   0.0091917 
 120.E-6    956.36E-6  0.0095643 
 125.E-6    993.41E-6  0.0099348 
 130.E-6    0.0010302  0.010303  
 135.E-6    0.0010669  0.010669  
 140.E-6    0.0011033  0.011033  
 145.E-6    0.0011395  0.011395  
 150.E-6    0.0011755  0.011755  
 155.E-6    0.0012112  0.012113  
 160.E-6    0.0012468  0.012469  
 165.E-6    0.0012822  0.012823  
 170.E-6    0.0013174  0.013174  
 175.E-6    0.0013523  0.013524  
 180.E-6    0.0013871  0.013872  
 185.E-6    0.0014217  0.014217  
 190.E-6    0.001456   0.014561  
 195.E-6    0.0014902  0.014903  
 200.E-6    0.0015242  0.015242  
 205.E-6    0.0015579  0.01558   
 210.E-6    0.0015915  0.015916  
 215.E-6    0.0016249  0.01625   
 220.E-6    0.0016581  0.016582  
 225.E-6    0.0016911  0.016912  
 230.E-6    0.0017239  0.01724   
 235.E-6    0.0017565  0.017566  
 240.E-6    0.001789   0.01789   
 245.E-6    0.0018212  0.018213  
 250.E-6    0.0018533  0.018534  
 255.E-6    0.0018852  0.018852  
 260.E-6    0.0019169  0.019169  
 265.E-6    0.0019484  0.019484  
 270.E-6    0.0019797  0.019798  
 275.E-6    0.0020109  0.020109  
 280.E-6    0.0020418  0.020419  
 285.E-6    0.0020726  0.020727  
 290.E-6    0.0021032  0.021033  
 295.E-6    0.0021337  0.021337  
 300.E-6    0.0021639  0.02164   
 305.E-6    0.002194   0.021941  
 310.E-6    0.0022239  0.02224   
 315.E-6    0.0022537  0.022537  
 320.E-6    0.0022832  0.022833  
 325.E-6    0.0023126  0.023127  
 330.E-6    0.0023419  0.023419  
 335.E-6    0.0023709  0.02371   
 340.E-6    0.0023998  0.023999  
 345.E-6    0.0024286  0.024286  
 350.E-6    0.0024571  0.024572  
 355.E-6    0.0024855  0.024856  
 360.E-6    0.0025137  0.025138  
 365.E-6    0.0025418  0.025419  
 370.E-6    0.0025697  0.025698  
 375.E-6    0.0025975  0.025975  
 380.E-6    0.0026251  0.026251  
 385.E-6    0.0026525  0.026526  
 390.E-6    0.0026798  0.026798  
 395.E-6    0.0027069  0.027069  
 400.E-6    0.0027338  0.027339  
 405.E-6    0.0027606  0.027607  
 410.E-6    0.0027873  0.027873  
 415.E-6    0.0028138  0.028138  
 420.E-6    0.0028401  0.028402  
 425.E-6    0.0028663  0.028664  
 430.E-6    0.0028924  0.028924  
 435.E-6    0.0029182  0.029183  
 440.E-6    0.002944   0.02944   
 445.E-6    0.0029696  0.029696  
 450.E-6    0.002995   0.029951  
 455.E-6    0.0030203  0.030204  
 460.E-6    0.0030455  0.030455  
 465.E-6    0.0030705  0.030705  
 470.E-6    0.0030953  0.030954  
 475.E-6    0.0031201  0.031201  
 480.E-6    0.0031446  0.031447  
 485.E-6    0.0031691  0.031691  
 490.E-6    0.0031934  0.031934  
 495.E-6    0.0032175  0.032176  
 500.E-6    0.0032415  0.032416  
 505.E-6    0.0032654  0.032655  
 510.E-6    0.0032891  0.032892  
 515.E-6    0.0033127  0.033128  
 520.E-6    0.0033362  0.033363  
 525.E-6    0.0033595  0.033596  
 530.E-6    0.0033827  0.033828  
 535.E-6    0.0034058  0.034058  
 540.E-6    0.0034287  0.034288  
 545.E-6    0.0034515  0.034516  
 550.E-6    0.0034742  0.034742  
 555.E-6    0.0034967  0.034968  
 560.E-6    0.0035191  0.035192  
 565.E-6    0.0035414  0.035415  
 570.E-6    0.0035636  0.035636  
 575.E-6    0.0035856  0.035856  
 580.E-6    0.0036075  0.036075  
 585.E-6    0.0036292  0.036293  
 590.E-6    0.0036509  0.036509  
 595.E-6    0.0036724  0.036724  
 600.E-6    0.0036938  0.036938  
 605.E-6    0.0037151  0.037151  
 610.E-6    0.0037362  0.037362  
 615.E-6    0.0037572  0.037573  
 620.E-6    0.0037781  0.037782  
 625.E-6    0.0037989  0.03799   
 630.E-6    0.0038196  0.038196  
 635.E-6    0.0038401  0.038402  
 640.E-6    0.0038606  0.038606  
 645.E-6    0.0038809  0.038809  
 650.E-6    0.0039011  0.039011  
 655.E-6    0.0039211  0.039212  
 660.E-6    0.0039411  0.039411  
 665.E-6    0.0039609  0.03961   
 670.E-6    0.0039807  0.039807  
 675.E-6    0.0040003  0.040003  
 680.E-6    0.0040198  0.040198  
 685.E-6    0.0040392  0.040392  
 690.E-6    0.0040584  0.040585  
 695.E-6    0.0040776  0.040777  
 700.E-6    0.0040967  0.040967  
 705.E-6    0.0041156  0.041157  
 710.E-6    0.0041345  0.041345  
 715.E-6    0.0041532  0.041532  
 720.E-6    0.0041718  0.041718  
 725.E-6    0.0041903  0.041904  
 730.E-6    0.0042087  0.042088  
 735.E-6    0.004227   0.042271  
 740.E-6    0.0042452  0.042453  
 745.E-6    0.0042633  0.042634  
 750.E-6    0.0042813  0.042813  
 755.E-6    0.0042992  0.042992  
 760.E-6    0.004317   0.04317   
 765.E-6    0.0043346  0.043347  
 770.E-6    0.0043522  0.043523  
 775.E-6    0.0043697  0.043697  
 780.E-6    0.0043871  0.043871  
 785.E-6    0.0044043  0.044044  
 790.E-6    0.0044215  0.044216  
 795.E-6    0.0044386  0.044386  
 800.E-6    0.0044556  0.044556  
 805.E-6    0.0044725  0.044725  
 810.E-6    0.0044892  0.044893  
 815.E-6    0.0045059  0.04506   
 820.E-6    0.0045225  0.045225  
 825.E-6    0.004539   0.04539   
 830.E-6    0.0045554  0.045554  
 835.E-6    0.0045717  0.045717  
 840.E-6    0.0045879  0.045879  
 845.E-6    0.004604   0.046041  
 850.E-6    0.00462    0.046201  
 855.E-6    0.004636   0.04636   
 860.E-6    0.0046518  0.046519  
 865.E-6    0.0046676  0.046676  
 870.E-6    0.0046832  0.046833  
 875.E-6    0.0046988  0.046988  
 880.E-6    0.0047143  0.047143  
 885.E-6    0.0047297  0.047297  
 890.E-6    0.004745   0.04745   
 895.E-6    0.0047602  0.047602  
 900.E-6    0.0047753  0.047753  
 905.E-6    0.0047903  0.047904  
 910.E-6    0.0048053  0.048053  
 915.E-6    0.0048201  0.048202  
 920.E-6    0.0048349  0.048349  
 925.E-6    0.0048496  0.048496  
 930.E-6    0.0048642  0.048642  
 935.E-6    0.0048787  0.048788  
 940.E-6    0.0048932  0.048932  
 945.E-6    0.0049075  0.049076  
 950.E-6    0.0049218  0.049218  
 955.E-6    0.004936   0.04936   
 960.E-6    0.0049501  0.049501  
 965.E-6    0.0049641  0.049642  
 970.E-6    0.0049781  0.049781  
 975.E-6    0.004992   0.04992   
 980.E-6    0.0050057  0.050058  
 985.E-6    0.0050194  0.050195  
 990.E-6    0.0050331  0.050331  
 995.E-6    0.0050466  0.050467  
 0.001      0.0050601  0.050601  
 0.001005   0.0050735  0.050735  
 0.00101    0.0050868  0.050868  
