#Freq       VP(4)      VP(6)     
 10.       -90.175     174.83    
 10.233    -90.179     174.71    
 10.471    -90.183     174.58    
 10.715    -90.187     174.46    
 10.965    -90.192     174.33    
 11.22     -90.196     174.2     
 11.482    -90.201     174.07    
 11.749    -90.205     173.93    
 12.023    -90.21      173.79    
 12.303    -90.215     173.64    
 12.589    -90.22      173.5     
 12.882    -90.225     173.35    
 13.183    -90.231     173.19    
 13.49     -90.236     173.04    
 13.804    -90.241     172.88    
 14.125    -90.247     172.71    
 14.454    -90.253     172.54    
 14.791    -90.259     172.37    
 15.136    -90.265     172.2     
 15.488    -90.271     172.02    
 15.849    -90.277     171.83    
 16.218    -90.284     171.65    
 16.596    -90.29      171.45    
 16.982    -90.297     171.26    
 17.378    -90.304     171.06    
 17.783    -90.311     170.85    
 18.197    -90.318     170.64    
 18.621    -90.326     170.43    
 19.055    -90.333     170.21    
 19.498    -90.341     169.99    
 19.953    -90.349     169.76    
 20.417    -90.357     169.53    
 20.893    -90.365     169.29    
 21.38     -90.374     169.04    
 21.878    -90.383     168.8     
 22.387    -90.392     168.54    
 22.909    -90.401     168.28    
 23.442    -90.41      168.02    
 23.988    -90.42      167.75    
 24.547    -90.429     167.47    
 25.119    -90.439     167.19    
 25.704    -90.45      166.9     
 26.303    -90.46      166.6     
 26.915    -90.471     166.3     
 27.542    -90.482     166.      
 28.184    -90.493     165.68    
 28.84     -90.504     165.37    
 29.512    -90.516     165.04    
 30.2      -90.528     164.71    
 30.903    -90.54      164.37    
 31.623    -90.553     164.02    
 32.359    -90.566     163.67    
 33.113    -90.579     163.31    
 33.884    -90.593     162.94    
 34.674    -90.606     162.57    
 35.481    -90.621     162.19    
 36.308    -90.635     161.8     
 37.154    -90.65      161.41    
 38.019    -90.665     161.      
 38.905    -90.68      160.6     
 39.811    -90.696     160.18    
 40.738    -90.712     159.75    
 41.687    -90.729     159.32    
 42.658    -90.746     158.88    
 43.652    -90.763     158.43    
 44.668    -90.781     157.98    
 45.709    -90.799     157.52    
 46.774    -90.818     157.05    
 47.863    -90.837     156.57    
 48.978    -90.857     156.08    
 50.119    -90.876     155.59    
 51.286    -90.897     155.09    
 52.481    -90.918     154.58    
 53.703    -90.939     154.07    
 54.954    -90.961     153.55    
 56.234    -90.983     153.02    
 57.544    -91.006     152.48    
 58.884    -91.03      151.94    
 60.256    -91.054     151.38    
 61.66     -91.078     150.83    
 63.096    -91.103     150.26    
 64.565    -91.129     149.69    
 66.069    -91.155     149.11    
 67.608    -91.182     148.53    
 69.183    -91.21      147.94    
 70.795    -91.238     147.34    
 72.444    -91.267     146.74    
 74.131    -91.296     146.13    
 75.858    -91.326     145.52    
 77.625    -91.357     144.9     
 79.433    -91.389     144.27    
 81.283    -91.421     143.65    
 83.176    -91.454     143.02    
 85.114    -91.488     142.38    
 87.096    -91.523     141.74    
 89.125    -91.558     141.1     
 91.201    -91.595     140.45    
 93.325    -91.632     139.8     
 95.499    -91.67      139.15    
 97.724    -91.709     138.5     
 100.      -91.748     137.84    
 102.33    -91.789     137.18    
 104.71    -91.831     136.52    
 107.15    -91.873     135.86    
 109.65    -91.917     135.2     
 112.2     -91.962     134.55    
 114.82    -92.007     133.89    
 117.49    -92.054     133.23    
 120.23    -92.102     132.57    
 123.03    -92.151     131.91    
 125.89    -92.201     131.26    
 128.82    -92.252     130.6     
 131.83    -92.304     129.95    
 134.9     -92.358     129.3     
 138.04    -92.413     128.66    
 141.25    -92.469     128.02    
 144.54    -92.526     127.38    
 147.91    -92.585     126.74    
 151.36    -92.645     126.11    
 154.88    -92.707     125.49    
 158.49    -92.77      124.87    
 162.18    -92.834     124.25    
 165.96    -92.9       123.64    
 169.82    -92.968     123.03    
 173.78    -93.037     122.43    
 177.83    -93.107     121.84    
 181.97    -93.179     121.25    
 186.21    -93.253     120.67    
 190.55    -93.329     120.09    
 194.98    -93.406     119.52    
 199.53    -93.485     118.96    
 204.17    -93.566     118.4     
 208.93    -93.649     117.85    
 213.8     -93.734     117.31    
 218.78    -93.821     116.78    
 223.87    -93.91      116.25    
 229.09    -94.        115.73    
 234.42    -94.093     115.22    
 239.88    -94.188     114.71    
 245.47    -94.286     114.21    
 251.19    -94.385     113.72    
 257.04    -94.487     113.24    
 263.03    -94.591     112.77    
 269.15    -94.697     112.3     
 275.42    -94.806     111.84    
 281.84    -94.918     111.39    
 288.4     -95.032     110.94    
 295.12    -95.148     110.5     
 302.      -95.268     110.07    
 309.03    -95.39      109.65    
 316.23    -95.514     109.24    
 323.59    -95.642     108.83    
 331.13    -95.773     108.43    
 338.84    -95.906     108.04    
 346.74    -96.043     107.65    
 354.81    -96.183     107.27    
 363.08    -96.326     106.9     
 371.54    -96.472     106.54    
